sys_temp,resp,server_time,receiver,receiver_time,DC,PC,LV,BV,BU,I,T,DU,RU,X,Y,Z,cpu_temp,cpu_time
2024-08-19 12:00:03 temp=45.2'C,"*450281.0#20[0009],OK,#9A450281,422,2024-08-19 11:59:53,STS,DC=51,PC=7517,LV=0.2,BV=3.6,BU=10.1,I=2.3,T=26.6,DU=0.0,RU=0.4,XYZ=0.06:-0.16:-0.84,#B8>|",2024-08-19T12:00:05.354717Z,450281,2024-08-19T11:59:53Z,51,7517,0.2,3.6,10.1,2.3,26.6,0,0.4,0.06,-0.16,-0.84,45.2,2024-08-19T12:00:03Z
2024-08-19 12:15:03 temp=45.2'C,"*450281.0#20[0009],OK,#9A450281,423,2024-08-19 12:14:53,STS,DC=51,PC=7521,LV=0.2,BV=3.6,BU=10.1,I=2.4,T=26.5,DU=0.0,RU=0.4,XYZ=0.06:-0.16:-0.84,#AC>|",2024-08-19T12:15:05.172401Z,450281,2024-08-19T12:14:53Z,51,7521,0.2,3.6,10.1,2.4,26.5,0,0.4,0.06,-0.16,-0.84,45.2,2024-08-19T12:15:03Z
2024-08-19 12:30:03 temp=45.2'C,"*450281.0#20[0009],OK,#9A450281,424,2024-08-19 12:29:53,STS,DC=51,PC=7536,LV=0.2,BV=3.6,BU=10.1,I=2.4,T=26.5,DU=0.0,RU=0.4,XYZ=0.06:-0.16:-0.84,#B9>|",2024-08-19T12:30:04.939337Z,450281,2024-08-19T12:29:53Z,51,7536,0.2,3.6,10.1,2.4,26.5,0,0.4,0.06,-0.16,-0.84,45.2,2024-08-19T12:30:03Z
2024-08-19 12:45:03 temp=44.8'C,"*450281.0#20[0009],OK,#9A450281,425,2024-08-19 12:44:53,STS,DC=51,PC=7554,LV=0.2,BV=3.6,BU=10.1,I=2.4,T=26.5,DU=0.0,RU=0.4,XYZ=0.06:-0.16:-0.84,#B7>|",2024-08-19T12:45:04.677164Z,450281,2024-08-19T12:44:53Z,51,7554,0.2,3.6,10.1,2.4,26.5,0,0.4,0.06,-0.16,-0.84,44.8,2024-08-19T12:45:03Z
2024-08-19 13:00:03 temp=46.2'C,"*450281.0#20[0009],OK,#9A450281,426,2024-08-19 12:59:53,STS,DC=51,PC=7562,LV=0.2,BV=3.6,BU=10.1,I=2.4,T=26.5,DU=0.0,RU=0.4,XYZ=0.06:-0.16:-0.84,#BD>|",2024-08-19T13:00:05.359587Z,450281,2024-08-19T12:59:53Z,51,7562,0.2,3.6,10.1,2.4,26.5,0,0.4,0.06,-0.16,-0.84,46.2,2024-08-19T13:00:03Z
2024-08-19 13:15:03 temp=45.7'C,"*450281.0#20[0009],OK,#9A450281,427,2024-08-19 13:14:53,STS,DC=51,PC=7569,LV=0.2,BV=3.6,BU=10.1,I=2.3,T=26.5,DU=0.0,RU=0.4,XYZ=0.06:-0.16:-0.84,#BC>|",2024-08-19T13:15:05.130171Z,450281,2024-08-19T13:14:53Z,51,7569,0.2,3.6,10.1,2.3,26.5,0,0.4,0.06,-0.16,-0.84,45.7,2024-08-19T13:15:03Z
2024-08-19 13:30:03 temp=47.7'C,"*450281.0#20[0009],OK,#9A450281,428,2024-08-19 13:29:53,STS,DC=51,PC=7576,LV=0.2,BV=3.6,BU=10.1,I=2.4,T=26.5,DU=0.0,RU=0.4,XYZ=0.06:-0.16:-0.84,#C2>|",2024-08-19T13:30:04.946278Z,450281,2024-08-19T13:29:53Z,51,7576,0.2,3.6,10.1,2.4,26.5,0,0.4,0.06,-0.16,-0.84,47.7,2024-08-19T13:30:03Z
2024-08-19 13:45:03 temp=47.2'C,"*450281.0#20[0009],OK,#9A450281,429,2024-08-19 13:44:53,STS,DC=51,PC=7581,LV=0.2,BV=3.6,BU=10.1,I=2.3,T=26.5,DU=0.0,RU=0.4,XYZ=0.06:-0.16:-0.84,#BB>|",2024-08-19T13:45:04.713928Z,450281,2024-08-19T13:44:53Z,51,7581,0.2,3.6,10.1,2.3,26.5,0,0.4,0.06,-0.16,-0.84,47.2,2024-08-19T13:45:03Z
2024-08-19 14:00:03 temp=47.2'C,"*450281.0#20[0009],OK,#9A450281,430,2024-08-19 13:59:53,STS,DC=51,PC=7585,LV=0.2,BV=3.6,BU=10.1,I=2.4,T=26.5,DU=0.0,RU=0.4,XYZ=0.06:-0.16:-0.84,#BE>|",2024-08-19T14:00:05.665290Z,450281,2024-08-19T13:59:53Z,51,7585,0.2,3.6,10.1,2.4,26.5,0,0.4,0.06,-0.16,-0.84,47.2,2024-08-19T14:00:03Z
2024-08-19 14:15:03 temp=46.7'C,"*450281.0#20[0009],OK,#9A450281,431,2024-08-19 14:14:53,STS,DC=51,PC=7594,LV=0.2,BV=3.6,BU=10.1,I=2.4,T=26.5,DU=0.0,RU=0.4,XYZ=0.06:-0.16:-0.84,#B7>|",2024-08-19T14:15:05.421317Z,450281,2024-08-19T14:14:53Z,51,7594,0.2,3.6,10.1,2.4,26.5,0,0.4,0.06,-0.16,-0.84,46.7,2024-08-19T14:15:03Z
